,u_x,u_y,u_z,sos,Time-stamp,t,V,Uxy,Theta,Turb_intensity
169,4.11,0.35,2.27,338.91,2017-03-27 06:52:58,42,4.70823746215,4.1248757557,28.8248510129,16.0525080173
170,4.23,0.57,2.85,338.82,2017-03-27 06:52:58,42,5.132280195,4.26823148388,33.7319820076,16.0525080173
171,3.5,0.05,2.84,338.86,2017-03-27 06:52:59,43,4.50756031574,3.50035712464,39.0540017943,15.910428548
172,4.53,-0.13,3.39,338.8,2017-03-27 06:52:59,43,5.65949644403,4.53186495827,36.797826335,15.910428548
173,4.85,-0.61,1.12,338.86,2017-03-27 06:52:59,43,5.01487786491,4.88821030644,12.9050158678,15.910428548
174,4.63,-0.65,1.11,338.79,2017-03-27 06:52:59,43,4.80536158889,4.67540372588,13.3554809281,15.910428548
175,4.08,-0.84,0.84,338.84,2017-03-27 06:53:00,44,4.24942349031,4.16557318985,-11.4009663243,15.7606289906
176,3.46,-0.76,1.3,338.85,2017-03-27 06:53:00,44,3.77348645155,3.5424850035,-20.1518254798,15.7606289906
177,4.29,-0.95,0.87,338.8,2017-03-27 06:53:00,44,4.47922984452,4.39392762799,-11.199735256,15.7606289906
178,3.59,-0.55,1.4,338.87,2017-03-27 06:53:00,44,3.89237716569,3.63188656211,21.0803838219,15.7606289906
179,3.36,-0.94,1.23,338.91,2017-03-27 06:53:01,45,3.69947293543,3.48901132128,-19.4193581959,15.633811959
180,2.49,-1.6,0.65,338.85,2017-03-27 06:53:01,45,3.03028051507,2.95974661078,12.3862885573,15.633811959
181,3.21,-1.11,1.1,338.91,2017-03-27 06:53:01,45,3.57018206819,3.39649819667,-17.9452187725,15.633811959
182,2.32,-1.02,2.22,338.88,2017-03-27 06:53:01,45,3.36915419653,2.53432436756,-41.2174880744,15.633811959
183,2.03,-0.72,2.92,338.86,2017-03-27 06:53:02,46,3.62845697232,2.1539034333,53.5860984485,15.5211310145
184,2.86,1.02,2.65,338.78,2017-03-27 06:53:02,46,4.03019850628,3.03644529014,41.1122123658,15.5211310145
185,2.94,0.02,2.75,338.76,2017-03-27 06:53:02,46,4.02572974751,2.94006802642,43.0868334029,15.5211310145
186,3.53,-0.22,0.94,338.81,2017-03-27 06:53:02,46,3.65963112895,3.53684888001,14.8836186921,15.5211310145
187,3.79,0.83,1.65,338.85,2017-03-27 06:53:03,47,4.21610009369,3.87981958343,23.0389580885,15.5187049507
188,4.02,-0.15,1.3,338.81,2017-03-27 06:53:03,47,4.22763527282,4.02279753406,17.908663968,15.5187049507
189,3.64,-0.03,1.54,338.81,2017-03-27 06:53:03,47,3.95248023398,3.64012362427,-22.9314021727,15.5187049507
190,3.39,-0.27,1.29,338.8,2017-03-27 06:53:03,47,3.63718297588,3.40073521463,20.773226093,15.5187049507
191,3.76,0.31,1.69,338.77,2017-03-27 06:53:04,48,4.13398113203,3.77275761215,24.1299079644,15.3761157741
192,3.42,0.37,1.77,338.84,2017-03-27 06:53:04,48,3.86861732406,3.43995639507,27.2276960959,15.3761157741
193,4.02,0.05,2.09,338.74,2017-03-27 06:53:04,48,4.53111465315,4.02031093325,27.4681301778,15.3761157741
194,3.83,0.18,1.44,338.8,2017-03-27 06:53:04,48,4.0957172754,3.83422743196,20.5843996916,15.3761157741
195,3.96,0.73,1.75,338.69,2017-03-27 06:53:05,49,4.39055805109,4.0267232336,23.489599201,15.4678197378
196,3.53,0.76,2.01,338.74,2017-03-27 06:53:05,49,4.13262628361,3.61088631779,29.1025010736,15.4678197378
197,3.36,0.87,1.88,338.73,2017-03-27 06:53:05,49,3.94726487583,3.47080682263,28.4426687369,15.4678197378
198,3.58,0.2,1.59,338.76,2017-03-27 06:53:05,49,3.92230799403,3.58558224003,23.9145391682,15.4678197378
199,3.21,0.34,1.64,338.77,2017-03-27 06:53:06,50,3.62067673233,3.22795600961,26.9333679173,15.4726179459
200,3.51,-0.47,1.11,338.77,2017-03-27 06:53:06,50,3.71121273979,3.54132743473,-17.4031711254,15.4726179459
201,3.77,-0.28,1.45,338.75,2017-03-27 06:53:06,50,4.04892578346,3.78038357842,20.9847638675,15.4726179459
202,3.67,-0.38,1.32,338.73,2017-03-27 06:53:06,50,3.91863496641,3.6896205767,19.685196125,15.4726179459
203,3.6,-0.23,1.73,338.72,2017-03-27 06:53:07,51,4.00072493431,3.60733974003,25.6213413592,15.6017094177
204,3.41,-0.61,1.7,338.74,2017-03-27 06:53:07,51,3.85878219131,3.46413048253,26.1392019426,15.6017094177
